,Importance
dAB_follower,0.09368037432432175
dAB_listed,0.4782162308692932
dAB_tweets,0.07718432694673538
dAB_degree,0.14854149520397186
dAB_non_tweets_sent,0.07966000586748123
dAB_non_tweets_received,0.12271752208471298
