Source,Target,type_of_content
TheThomasMiles,FAMU_MBB,Retweet
TheThomasMiles,KingJames,Retweet
Franky_974,FAMU_MBB,Retweet
Franky_974,KingJames,Retweet
DeuceSkywalker,HCWillieSimmons,Retweet
xkdjr23,FAMU_MBB,Retweet
xkdjr23,KingJames,Retweet
CulturedModesty,FAMU_MBB,Retweet
CulturedModesty,KingJames,Retweet
_AgentDre,FAMU_MBB,Retweet
_AgentDre,KingJames,Retweet
guitomaaz,FAMU_MBB,Retweet
guitomaaz,KingJames,Retweet
iDrankin211,FAMU_MBB,Retweet
iDrankin211,KingJames,Retweet
KarlDeshawn,FAMU_MBB,Retweet
KarlDeshawn,KingJames,Retweet
fkerley99,FAMU_MBB,Retweet
fkerley99,KingJames,Retweet
Gwormz,FAMU_MBB,Retweet
Gwormz,KingJames,Retweet
DJ_dRae12,FAMU_MBB,Retweet
DJ_dRae12,KingJames,Retweet
WKing_jr,FAMU_MBB,Retweet
WKing_jr,KingJames,Retweet
KingKD__,FAMU_MBB,Retweet
KingKD__,KingJames,Retweet
GreDeeArts,FAMU_MBB,Retweet
GreDeeArts,KingJames,Retweet
rjclifestyle,FAMU_MBB,Retweet
rjclifestyle,KingJames,Retweet
churchboy74,FAMU_MBB,Retweet
churchboy74,KingJames,Retweet
JarretSigrah,FAMU_MBB,Retweet
JarretSigrah,KingJames,Retweet
RostafarianJam,FAMU_MBB,Retweet
RostafarianJam,KingJames,Retweet
amiri0v0,FAMU_MBB,Retweet
amiri0v0,KingJames,Retweet
morriscthomas,FAMU_MBB,Retweet
morriscthomas,KingJames,Retweet
jamaalaldin_tv,jamaalaldin_tv,Retweet
Ben_da_MaYne,FAMU_MBB,Retweet
Ben_da_MaYne,KingJames,Retweet
Godswarrior1993,FAMU_MBB,Retweet
Godswarrior1993,KingJames,Retweet
Quie__Quie,FAMU_MBB,Retweet
Quie__Quie,KingJames,Retweet
KhalilSmitts8,FAMU_MBB,Retweet
KhalilSmitts8,KingJames,Retweet
_MasterWilliam,FAMU_MBB,Retweet
_MasterWilliam,KingJames,Retweet
6ixthborn,FAMU_MBB,Retweet
6ixthborn,KingJames,Retweet
HCWillieSimmons,HCWillieSimmons,Tweet
KelliBielema,BGirlVentures,Retweet
SawyerAndrew,BGirlVentures,Retweet
seventwelveco,swooshsupply,Retweet
coachjb_,FAMU_MBB,Retweet
coachjb_,KingJames,Retweet
ieeeh,ieeeh,Tweet
drjsportcrisis,BGirlVentures,Retweet
margaridagrib_,footlocker,Retweet
ShopPriced2Sell,ShopPriced2Sell,Tweet
SportyDude7,SportyDude7,Tweet
SpinningBy,BGirlVentures,Retweet
econnis3,BGirlVentures,Retweet
FastSoleUK,FastSoleUK,Tweet
karlpikner,karlpikner,Tweet
tysonSwiss,tysonSwiss,Tweet
menswear_bot,GabrielsChrista,Retweet
errecepe,errecepe,Tweet
soleilbeez,BGirlVentures,Retweet
GoHamcobe,FAMU_MBB,Retweet
GoHamcobe,KingJames,Retweet
King_Zach_,FAMU_MBB,Retweet
King_Zach_,KingJames,Retweet
C_money35,FAMU_MBB,Retweet
C_money35,KingJames,Retweet
TiaunaWest,BGirlVentures,Retweet
SisiBloom,BGirlVentures,Retweet
helhinhorun,helhinhorun,Tweet
debo_oyinda,BGirlVentures,Retweet
